model,framework,data_pct,feature,P,R,F
lv_spacy_cnn_50pct,CNN,50,VerbForm,0.9984813971146546,0.9960612028480533,0.9972698316396178
lv_spacy_cnn_50pct,CNN,50,Voice,0.9987207602339181,0.9956276188741119,0.9971717908949913
lv_spacy_cnn_50pct,CNN,50,Definite,0.9973181361045927,0.9959825912286575,0.9966499162479063
lv_spacy_cnn_50pct,CNN,50,Degree,0.9972451790633609,0.9958734525447043,0.9965588437715072
lv_spacy_cnn_50pct,CNN,50,Poss,1.0,1.0,1.0
lv_spacy_cnn_50pct,CNN,50,NumType,0.8722109533468559,0.6969205834683955,0.7747747747747749
lv_spacy_cnn_50pct,CNN,50,Reflex,0.9989658738366081,1.0,0.999482669425763
lv_spacy_cnn_50pct,CNN,50,Aspect,0.9983552631578947,0.9967159277504105,0.9975349219391947
lv_spacy_cnn_50pct,CNN,50,Foreign,0.9504950495049505,0.9142857142857143,0.9320388349514563
lv_spacy_cnn_50pct,CNN,50,Abbr,0.9405405405405406,0.93048128342246,0.935483870967742
lv_spacy_cnn_50pct,CNN,50,Typo,1.0,1.0,1.0
lv_spacy_cnn_100pct,CNN,100,ExtPos,1.0,0.9925373134328358,0.9962546816479401
lv_spacy_cnn_100pct,CNN,100,Case,0.9976216717907072,0.9969855072463768,0.9973034880686594
lv_spacy_cnn_100pct,CNN,100,Gender,0.9975611243216878,0.9968317796868336,0.9971963186444811
lv_spacy_cnn_100pct,CNN,100,Number,0.9986240898927937,0.997651775486827,0.998137695900066
lv_spacy_cnn_100pct,CNN,100,Person,0.999809342230696,0.9990474376071633,0.9994282447112637
lv_spacy_cnn_100pct,CNN,100,PronType,0.9994493392070485,0.9983498349834984,0.9988992845349477
lv_spacy_cnn_100pct,CNN,100,Evident,1.0,0.999183895538629,0.9995917811947204
lv_spacy_cnn_100pct,CNN,100,Mood,1.0,0.9992533598805375,0.9996265405203535
lv_spacy_cnn_100pct,CNN,100,Polarity,0.9993942147508709,0.9992428831011508,0.9993185431967897
lv_spacy_cnn_100pct,CNN,100,Tense,0.9990047770700637,0.9990047770700637,0.9990047770700637
lv_spacy_cnn_100pct,CNN,100,VerbForm,0.9992298213185459,0.999075927922378,0.9991528686946477
lv_spacy_cnn_100pct,CNN,100,Voice,0.9992545657845695,0.9992545657845695,0.9992545657845695
lv_spacy_cnn_100pct,CNN,100,Definite,0.9976682211858761,0.9970039946737683,0.9973359973359974
lv_spacy_cnn_100pct,CNN,100,Degree,0.9986320109439124,0.9972677595628415,0.9979494190020505
lv_spacy_cnn_100pct,CNN,100,Poss,1.0,1.0,1.0
lv_spacy_cnn_100pct,CNN,100,NumType,0.8845401174168297,0.7151898734177216,0.7909011373578303
lv_spacy_cnn_100pct,CNN,100,Reflex,1.0,0.9989082969432315,0.9994538503549972
lv_spacy_cnn_100pct,CNN,100,Aspect,0.9975470155355682,0.9983633387888707,0.9979550102249489
lv_spacy_cnn_100pct,CNN,100,Foreign,0.9632352941176471,0.9225352112676056,0.9424460431654677
lv_spacy_cnn_100pct,CNN,100,Abbr,0.9447236180904522,0.8281938325991189,0.8826291079812206
lv_roberta_base_1pct,XLM-R-base,1,Case,0.9977795490776589,0.9970415884394379,0.9974104322586154
lv_roberta_base_1pct,XLM-R-base,1,Gender,0.9973714080888942,0.9967164179104477,0.9970438054286482
lv_roberta_base_1pct,XLM-R-base,1,Number,0.9981442951133105,0.9970229736561254,0.997583319282864
lv_roberta_base_1pct,XLM-R-base,1,Person,1.0,0.9986908546848701,0.9993449985964256
lv_roberta_base_1pct,XLM-R-base,1,PronType,1.0,0.9997092177958709,0.9998545877562891
lv_roberta_base_1pct,XLM-R-base,1,Evident,1.0,0.9984338292873923,0.9992163009404388
lv_roberta_base_1pct,XLM-R-base,1,Mood,1.0,0.9985573455157489,0.9992781520692975
lv_roberta_base_1pct,XLM-R-base,1,Polarity,0.9998491931835319,0.9987948177161796,0.9993217273343885
lv_roberta_base_1pct,XLM-R-base,1,Tense,0.9998050682261208,0.9986370716510904,0.9992207286187414
lv_roberta_base_1pct,XLM-R-base,1,VerbForm,0.9998471415469276,0.9987784394564055,0.9993125047742724
lv_roberta_base_1pct,XLM-R-base,1,Voice,0.9998167827042873,0.998718887262079,0.9992675334187878
lv_roberta_base_1pct,XLM-R-base,1,Definite,0.9993540051679587,0.9990313206328705,0.9991926368480543
lv_roberta_base_1pct,XLM-R-base,1,Degree,0.9997272975184074,0.9991823385118561,0.9994547437295529
lv_roberta_base_1pct,XLM-R-base,1,NumType,0.8568548387096774,0.7327586206896551,0.7899628252788105
lv_roberta_base_1pct,XLM-R-base,1,Poss,1.0,1.0,1.0
lv_roberta_base_1pct,XLM-R-base,1,Reflex,1.0,1.0,1.0
lv_roberta_base_1pct,XLM-R-base,1,Aspect,0.9991408934707904,0.9991408934707904,0.9991408934707904
lv_roberta_base_1pct,XLM-R-base,1,Typo,0.98,1.0,0.98989898989899
lv_roberta_base_1pct,XLM-R-base,1,ExtPos,1.0,1.0,1.0
lv_roberta_base_1pct,XLM-R-base,1,Abbr,1.0,1.0,1.0
lv_roberta_base_1pct,XLM-R-base,1,Foreign,1.0,1.0,1.0
lv_roberta_base_5pct,XLM-R-base,5,ExtPos,1.0,1.0,1.0
lv_roberta_base_5pct,XLM-R-base,5,Case,0.9985003172405837,0.9977521613832853,0.9981260991149421
lv_roberta_base_5pct,XLM-R-base,5,Gender,0.9986061450821162,0.9976992007750061,0.9981524669109852
lv_roberta_base_5pct,XLM-R-base,5,Number,0.9988095238095238,0.9975653946325445,0.9981870715540195
lv_roberta_base_5pct,XLM-R-base,5,Person,1.0,0.9988797610156833,0.9994395665981692
lv_roberta_base_5pct,XLM-R-base,5,PronType,1.0,0.9997227612974772,0.99986136143075
