model,dep_type,p,r,f
lv_xlmr_base_1pct,amod,0.7453703704,0.7887860642,0.7664638984
lv_xlmr_base_1pct,obj,0.745526839,0.7230077121,0.7340946166
lv_xlmr_base_1pct,cc,0.7769230769,0.7968441815,0.7867575463
lv_xlmr_base_1pct,det,0.7804054054,0.7557251908,0.767867036
lv_xlmr_base_1pct,conj,0.5197195443,0.5539467539,0.5362875876
lv_xlmr_base_1pct,xcomp,0.6372745491,0.5988700565,0.6174757282
lv_xlmr_base_1pct,aux,0.0,0.0,0.0
lv_xlmr_base_1pct,root,0.7791633146,0.8030679934,0.7909350755
lv_xlmr_base_1pct,nmod,0.7409254641,0.6897085375,0.7144002137
lv_xlmr_base_1pct,ccomp,0.5636007828,0.4667747164,0.5106382979
lv_xlmr_base_1pct,advmod,0.6746252082,0.6401475237,0.6569343066
lv_xlmr_base_1pct,dep,0.0046097111,0.1442307692,0.0089338892
lv_xlmr_base_1pct,nummod,0.0,0.0,0.0
lv_xlmr_base_1pct,case,0.8478787879,0.8716510903,0.8596006144
lv_xlmr_base_1pct,iobj,0.4942528736,0.24543379,0.3279938978
lv_xlmr_base_1pct,obl,0.5721153846,0.5789473684,0.5755111013
lv_xlmr_base_1pct,acl,0.5720930233,0.6019575856,0.586645469
lv_xlmr_base_1pct,advmod:emph,0.0,0.0,0.0
lv_xlmr_base_1pct,cop,0.6460554371,0.6325678497,0.6392405063
lv_xlmr_base_1pct,aux:pass,0.0,0.0,0.0
lv_xlmr_base_1pct,nsubj:pass,0.0,0.0,0.0
lv_xlmr_base_1pct,parataxis,0.0,0.0,0.0
lv_xlmr_base_1pct,appos,0.0,0.0,0.0
lv_xlmr_base_1pct,csubj,0.0,0.0,0.0
lv_xlmr_base_1pct,flat,0.0,0.0,0.0
lv_xlmr_base_1pct,flat:foreign,0.0,0.0,0.0
lv_xlmr_base_1pct,flat:name,0.0,0.0,0.0
lv_xlmr_base_1pct,vocative,0.0,0.0,0.0
lv_xlmr_base_1pct,orphan,0.0,0.0,0.0
lv_xlmr_base_1pct,reparandum,0.0,0.0,0.0
lv_xlmr_base_1pct,advmod:neg,0.0,0.0,0.0
lv_xlmr_base_1pct,compound,0.0,0.0,0.0
lv_xlmr_base_1pct,goeswith,0.0,0.0,0.0
lv_xlmr_base_1pct,dislocated,0.0,0.0,0.0
lv_xlmr_base_1pct,csubj:pass,0.0,0.0,0.0
lv_xlmr_base_5pct,mark,0.8482142857,0.8727034121,0.8602846054
lv_xlmr_base_5pct,fixed,0.7898089172,0.8857142857,0.835016835
lv_xlmr_base_5pct,nsubj,0.8186619718,0.8381398702,0.8282864268
lv_xlmr_base_5pct,discourse,0.6688888889,0.4400584795,0.5308641975
lv_xlmr_base_5pct,advcl,0.5921696574,0.5525114155,0.5716535433
lv_xlmr_base_5pct,amod,0.8490358127,0.8388677191,0.8439211391
lv_xlmr_base_5pct,obj,0.8596721311,0.8425449871,0.8510223953
lv_xlmr_base_5pct,cc,0.8482490272,0.8599605523,0.8540646425
lv_xlmr_base_5pct,det,0.8489208633,0.9007633588,0.8740740741
lv_xlmr_base_5pct,conj,0.6729059429,0.6716487623,0.6722767648
lv_xlmr_base_5pct,xcomp,0.7073170732,0.7645951036,0.734841629
lv_xlmr_base_5pct,aux,0.8914728682,0.8949416342,0.8932038835
lv_xlmr_base_5pct,root,0.8465247087,0.8735489221,0.8598245256
lv_xlmr_base_5pct,nmod,0.8009355509,0.7949445448,0.7979288026
lv_xlmr_base_5pct,ccomp,0.6904761905,0.5640194489,0.6208742194
lv_xlmr_base_5pct,dep,0.0046367852,0.0576923077,0.008583691
lv_xlmr_base_5pct,nummod,0.8619402985,0.8076923077,0.8339350181
lv_xlmr_base_5pct,case,0.9136191677,0.9028037383,0.9081792542
lv_xlmr_base_5pct,iobj,0.6309148265,0.4566210046,0.5298013245
lv_xlmr_base_5pct,advmod,0.777154513,0.8029504742,0.789841928
lv_xlmr_base_5pct,obl,0.6409036861,0.7151702786,0.6760033445
lv_xlmr_base_5pct,advmod:emph,0.649122807,0.5342960289,0.5861386139
lv_xlmr_base_5pct,acl,0.7150170648,0.6835236542,0.6989157631
lv_xlmr_base_5pct,cop,0.725877193,0.6910229645,0.7080213904
lv_xlmr_base_5pct,aux:pass,0.0,0.0,0.0
lv_xlmr_base_5pct,nsubj:pass,0.0,0.0,0.0
lv_xlmr_base_5pct,parataxis,0.0,0.0,0.0
lv_xlmr_base_5pct,appos,0.0,0.0,0.0
lv_xlmr_base_5pct,flat,0.6756756757,0.3048780488,0.4201680672
lv_xlmr_base_5pct,csubj,0.0,0.0,0.0
lv_xlmr_base_5pct,flat:foreign,0.0,0.0,0.0
lv_xlmr_base_5pct,flat:name,0.0,0.0,0.0
lv_xlmr_base_5pct,vocative,0.0,0.0,0.0
lv_xlmr_base_5pct,orphan,0.0,0.0,0.0
lv_xlmr_base_5pct,reparandum,0.0,0.0,0.0
lv_xlmr_base_5pct,advmod:neg,0.0,0.0,0.0
lv_xlmr_base_5pct,compound,0.0,0.0,0.0
lv_xlmr_base_5pct,goeswith,0.0,0.0,0.0
lv_xlmr_base_5pct,dislocated,0.0,0.0,0.0
lv_xlmr_base_5pct,csubj:pass,0.0,0.0,0.0
lv_xlmr_base_20pct,mark,0.8764044944,0.9212598425,0.8982725528
lv_xlmr_base_20pct,fixed,0.8675496689,0.9357142857,0.9003436426
lv_xlmr_base_20pct,nsubj,0.9046756071,0.8997837058,0.9022230255
lv_xlmr_base_20pct,discourse,0.7077175698,0.6301169591,0.6666666667
lv_xlmr_base_20pct,advcl,0.6931818182,0.6499238965,0.6708562451
lv_xlmr_base_20pct,amod,0.8969834946,0.8579205226,0.877017251
lv_xlmr_base_20pct,obj,0.8994910941,0.9087403599,0.9040920716
lv_xlmr_base_20pct,cc,0.9047936085,0.8934911243,0.8991068475
lv_xlmr_base_20pct,det,0.8817991632,0.919302072,0.9001601708
lv_xlmr_base_20pct,conj,0.7684563758,0.7487155535,0.7584575349
lv_xlmr_base_20pct,xcomp,0.8231046931,0.8587570621,0.8405529954
lv_xlmr_base_20pct,aux,0.9283018868,0.9571984436,0.9425287356
lv_xlmr_base_20pct,root,0.8879484079,0.9133499171,0.9004700593
lv_xlmr_base_20pct,nmod,0.8206312548,0.824864586,0.8227424749
lv_xlmr_base_20pct,ccomp,0.7479935795,0.755267423,0.7516129032
lv_xlmr_base_20pct,nummod,0.8592592593,0.8111888112,0.8345323741
lv_xlmr_base_20pct,case,0.9468417761,0.9433021807,0.9450686642
lv_xlmr_base_20pct,iobj,0.6973180077,0.6232876712,0.6582278481
lv_xlmr_base_20pct,advmod,0.8467230444,0.8440463646,0.8453825858
lv_xlmr_base_20pct,obl,0.7627948376,0.7580716497,0.7604259095
lv_xlmr_base_20pct,advmod:emph,0.6937269373,0.678700361,0.6861313869
lv_xlmr_base_20pct,acl,0.7631133672,0.735725938,0.7491694352
lv_xlmr_base_20pct,advmod:neg,0.487804878,0.7692307692,0.5970149254
lv_xlmr_base_20pct,cop,0.8397435897,0.8204592902,0.8299894403
lv_xlmr_base_20pct,aux:pass,0.9014778325,0.8551401869,0.8776978417
lv_xlmr_base_20pct,nsubj:pass,0.8185185185,0.8700787402,0.8435114504
lv_xlmr_base_20pct,parataxis,0.4657534247,0.3063063063,0.3695652174
lv_xlmr_base_20pct,appos,0.54,0.4029850746,0.4615384615
lv_xlmr_base_20pct,dep,0.0290697674,0.0480769231,0.0362318841
lv_xlmr_base_20pct,flat,0.4869565217,0.6829268293,0.5685279188
lv_xlmr_base_20pct,csubj,0.6849315068,0.4901960784,0.5714285714
lv_xlmr_base_20pct,flat:foreign,0.0,0.0,0.0
lv_xlmr_base_20pct,flat:name,0.8287671233,0.6685082873,0.7400611621
lv_xlmr_base_20pct,vocative,0.0,0.0,0.0
lv_xlmr_base_20pct,orphan,0.3424657534,0.2475247525,0.2873563218
lv_xlmr_base_20pct,reparandum,0.0,0.0,0.0
lv_xlmr_base_20pct,compound,0.0,0.0,0.0
lv_xlmr_base_20pct,goeswith,0.0,0.0,0.0
lv_xlmr_base_20pct,dislocated,0.0,0.0,0.0
lv_xlmr_base_20pct,csubj:pass,0.0,0.0,0.0
lv_xlmr_base_50pct,mark,0.9220945083,0.9475065617,0.9346278317
lv_xlmr_base_50pct,fixed,0.9300699301,0.95,0.9399293286
lv_xlmr_base_50pct,nsubj,0.9273519797,0.920331651,0.9238284784
lv_xlmr_base_50pct,discourse,0.7245696401,0.6769005848,0.6999244142
lv_xlmr_base_50pct,advcl,0.7457886677,0.7412480974,0.7435114504
lv_xlmr_base_50pct,amod,0.939675174,0.8818726184,0.9098567818
lv_xlmr_base_50pct,obj,0.9274245344,0.9280205656,0.9277224542
lv_xlmr_base_50pct,cc,0.9313333333,0.9184746877,0.9248593181
lv_xlmr_base_50pct,det,0.9337016575,0.9214830971,0.9275521405
lv_xlmr_base_50pct,conj,0.802233597,0.8052312004,0.8037296037
lv_xlmr_base_50pct,xcomp,0.9080234834,0.8738229755,0.8905950096
lv_xlmr_base_50pct,aux,0.9760956175,0.953307393,0.9645669291
lv_xlmr_base_50pct,root,0.9233606557,0.934079602,0.9286892003
lv_xlmr_base_50pct,nmod,0.8842909858,0.8653598143,0.8747229827
lv_xlmr_base_50pct,ccomp,0.8521594684,0.8314424635,0.8416735029
lv_xlmr_base_50pct,nummod,0.9185185185,0.8671328671,0.8920863309
lv_xlmr_base_50pct,case,0.9671094244,0.9526479751,0.959824231
lv_xlmr_base_50pct,iobj,0.7524038462,0.7146118721,0.7330210773
lv_xlmr_base_50pct,advmod,0.8628659476,0.885142255,0.8738621586
lv_xlmr_base_50pct,obl,0.8055555556,0.8208757187,0.813143483
lv_xlmr_base_50pct,advmod:emph,0.7962264151,0.761732852,0.778597786
lv_xlmr_base_50pct,acl,0.8060708263,0.779771615,0.7927031509
lv_xlmr_base_50pct,advmod:neg,0.59375,0.7307692308,0.6551724138
lv_xlmr_base_50pct,cop,0.8384458078,0.8559498956,0.847107438
lv_xlmr_base_50pct,aux:pass,0.9241706161,0.9112149533,0.9176470588
lv_xlmr_base_50pct,nsubj:pass,0.875,0.9094488189,0.8918918919
lv_xlmr_base_50pct,parataxis,0.6,0.6216216216,0.610619469
lv_xlmr_base_50pct,appos,0.6851851852,0.552238806,0.6115702479
lv_xlmr_base_50pct,dep,0.0341880342,0.0384615385,0.036199095
lv_xlmr_base_50pct,csubj:pass,0.4666666667,0.5833333333,0.5185185185
lv_xlmr_base_50pct,csubj,0.7586206897,0.6470588235,0.6984126984
lv_xlmr_base_50pct,flat,0.6478873239,0.5609756098,0.6013071895
lv_xlmr_base_50pct,flat:foreign,0.8,0.3333333333,0.4705882353
lv_xlmr_base_50pct,flat:name,0.9400630915,0.8232044199,0.8777614138
lv_xlmr_base_50pct,orphan,0.3950617284,0.3168316832,0.3516483516
lv_xlmr_base_50pct,vocative,0.0,0.0,0.0
lv_xlmr_base_50pct,reparandum,0.0,0.0,0.0
lv_xlmr_base_50pct,compound,0.0,0.0,0.0
lv_xlmr_base_50pct,goeswith,0.0,0.0,0.0
lv_xlmr_base_50pct,dislocated,0.0,0.0,0.0
lv_xlmr_base_100pct,mark,0.9127686473,0.9475065617,0.9298132646
lv_xlmr_base_100pct,fixed,0.8701298701,0.9571428571,0.9115646259
lv_xlmr_base_100pct,nsubj,0.9439114391,0.9221341024,0.9328956966
lv_xlmr_base_100pct,discourse,0.7257318952,0.6885964912,0.7066766692
lv_xlmr_base_100pct,advcl,0.7547468354,0.7260273973,0.7401086113
lv_xlmr_base_100pct,amod,0.9387283237,0.8840500817,0.9105691057
lv_xlmr_base_100pct,obj,0.9252217997,0.9383033419,0.931716656
lv_xlmr_base_100pct,cc,0.9343501326,0.9263642341,0.9303400462
lv_xlmr_base_100pct,det,0.9396267838,0.933478735,0.9365426696
lv_xlmr_base_100pct,conj,0.8145386766,0.8164409155,0.8154886867
lv_xlmr_base_100pct,xcomp,0.8775510204,0.8907721281,0.8841121495
lv_xlmr_base_100pct,aux,0.9534883721,0.9571984436,0.9553398058
lv_xlmr_base_100pct,root,0.9342105263,0.9419568823,0.9380677126
lv_xlmr_base_100pct,nmod,0.8943366544,0.8798039721,0.8870107918
